  0.69999999999999996        21000000000.000000     
    1143          0.31557300E+14
     0.3731460E+06            0.913752000000E+15            0.112572120000E+06
     0.3784660E+06            0.911364000000E+15            0.112456280000E+06
     0.3837860E+06            0.908980000000E+15            0.112340680000E+06
     0.3891880E+06            0.906386000000E+15            0.112214980000E+06
     0.3946720E+06            0.903865000000E+15            0.112092910000E+06
     0.4001560E+06            0.901278000000E+15            0.111967690000E+06
     0.4056400E+06            0.898694000000E+15            0.111842730000E+06
     0.4112060E+06            0.895889000000E+15            0.111707160000E+06
     0.4168550E+06            0.893162000000E+15            0.111575440000E+06
     0.4225030E+06            0.890365000000E+15            0.111440450000E+06
     0.4281520E+06            0.887572000000E+15            0.111305750000E+06
     0.4338830E+06            0.884547000000E+15            0.111159920000E+06
     0.4396970E+06            0.881603000000E+15            0.111018170000E+06
     0.4455120E+06            0.878587000000E+15            0.110873040000E+06
     0.4513260E+06            0.875575000000E+15            0.110728220000E+06
     0.4572240E+06            0.872318000000E+15            0.110571740000E+06
     0.4632060E+06            0.869148000000E+15            0.110419580000E+06
     0.4691870E+06            0.865902000000E+15            0.110263950000E+06
     0.4751690E+06            0.862661000000E+15            0.110108660000E+06
     0.4812360E+06            0.859160000000E+15            0.109941130000E+06
     0.4873880E+06            0.855752000000E+15            0.109778190000E+06
     0.4935400E+06            0.852266000000E+15            0.109611690000E+06
     0.4996910E+06            0.848785000000E+15            0.109445580000E+06
     0.5059300E+06            0.845029000000E+15            0.109266590000E+06
     0.5122550E+06            0.841372000000E+15            0.109092500000E+06
     0.5185810E+06            0.837634000000E+15            0.108914770000E+06
     0.5249060E+06            0.833900000000E+15            0.108737460000E+06
     0.5313210E+06            0.829875000000E+15            0.108546580000E+06
     0.5378250E+06            0.825956000000E+15            0.108360950000E+06
     0.5443290E+06            0.821953000000E+15            0.108171610000E+06
     0.5508330E+06            0.817954000000E+15            0.107982740000E+06
     0.5574300E+06            0.813644000000E+15            0.107779460000E+06
     0.5641200E+06            0.809448000000E+15            0.107581880000E+06
     0.5708100E+06            0.805165000000E+15            0.107380510000E+06
     0.5775000E+06            0.800887000000E+15            0.107179680000E+06
     0.5842880E+06            0.796271000000E+15            0.106963410000E+06
     0.5911740E+06            0.791781000000E+15            0.106753380000E+06
     0.5980600E+06            0.787200000000E+15            0.106539510000E+06
     0.6049460E+06            0.782624000000E+15            0.106326270000E+06
     0.6119380E+06            0.777679000000E+15            0.106096240000E+06
     0.6190340E+06            0.772872000000E+15            0.105873180000E+06
     0.6261310E+06            0.767972000000E+15            0.105646220000E+06
     0.6332280E+06            0.763076000000E+15            0.105419970000E+06
     0.6404380E+06            0.757773000000E+15            0.105175490000E+06
     0.6477620E+06            0.752626000000E+15            0.104938770000E+06
     0.6550860E+06            0.747379000000E+15            0.104698090000E+06
     0.6624100E+06            0.742138000000E+15            0.104458260000E+06
     0.6698540E+06            0.736454000000E+15            0.104198900000E+06
     0.6774180E+06            0.730941000000E+15            0.103948050000E+06
     0.6849820E+06            0.725323000000E+15            0.103693200000E+06
     0.6925470E+06            0.719710000000E+15            0.103439360000E+06
     0.7002550E+06            0.713565000000E+15            0.103162350000E+06
     0.7081080E+06            0.707630000000E+15            0.102895790000E+06
     0.7159610E+06            0.701584000000E+15            0.102625170000E+06
     0.7238130E+06            0.695543000000E+15            0.102355750000E+06
     0.7316620E+06            0.689404000000E+15            0.102082990000E+06
     0.7395060E+06            0.683262000000E+15            0.101811210000E+06
     0.7473500E+06            0.677008000000E+15            0.101535630000E+06
     0.7551940E+06            0.670758000000E+15            0.101261380000E+06
     0.7629940E+06            0.664536000000E+15            0.100989520000E+06
     0.7707500E+06            0.658249000000E+15            0.100716100000E+06
     0.7785070E+06            0.651851000000E+15            0.100439200000E+06
     0.7862640E+06            0.645457000000E+15            0.100163770000E+06
     0.7950810E+06            0.635450000000E+15            0.997355700000E+05
     0.8049600E+06            0.627130000000E+15            0.993822200000E+05
     0.8148390E+06            0.618622000000E+15            0.990235670000E+05
     0.8247170E+06            0.610118000000E+15            0.986677930000E+05
     0.8341440E+06            0.602978000000E+15            0.983713170000E+05
     0.8431190E+06            0.595094000000E+15            0.980463050000E+05
     0.8520930E+06            0.587046000000E+15            0.977172210000E+05
     0.8610680E+06            0.578998000000E+15            0.973909050000E+05
     0.8696440E+06            0.572211000000E+15            0.971179630000E+05
     0.8778210E+06            0.564735000000E+15            0.968197290000E+05
     0.8859970E+06            0.557111000000E+15            0.965182770000E+05
     0.8941740E+06            0.549483000000E+15            0.962195180000E+05
     0.9019920E+06            0.543037000000E+15            0.959692670000E+05
     0.9094520E+06            0.535943000000E+15            0.956963550000E+05
     0.9169120E+06            0.528711000000E+15            0.954208200000E+05
     0.9243720E+06            0.521474000000E+15            0.951479210000E+05
     0.9315060E+06            0.515355000000E+15            0.949194110000E+05
     0.9383140E+06            0.508622000000E+15            0.946704330000E+05
     0.9451220E+06            0.501756000000E+15            0.944192440000E+05
     0.9519290E+06            0.494884000000E+15            0.941706370000E+05
     0.9584380E+06            0.489078000000E+15            0.939628460000E+05
     0.9646460E+06            0.482684000000E+15            0.937364510000E+05
     0.9708550E+06            0.476161000000E+15            0.935081290000E+05
