model:  21
model depth: 10^{10}g/cc
relative accuracy in total stellar mass SMASS .1000000E-06
central grav.mass density [g/cc] .1000000E+16
stellar mass [g] .3685329E+34 stellr mass [M_{sun}]    0.185E+01
g14 - gravitational acceleration in 10^{14} cm/s^2 .2116947E+01
radius .1245748E+07
spatialKnotsNumber:   1143                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
 sigma = 0.700000E+00
The model does not account for superfluidity                                                                                                                                                            
#
    1143
       5
   time           timeInYear       radius         rho            temperature     capacity       conductivity       sources
   0.315573E+14   0.100001E+07   0.161853E+06   0.983151E+15    0.11596392E+06   0.298439E+17   0.556624E+27  -0.200585E+04
   0.315573E+14   0.100001E+07   0.165249E+06   0.982468E+15    0.11593035E+06   0.298272E+17   0.556178E+27  -0.200333E+04
   0.315573E+14   0.100001E+07   0.168646E+06   0.981756E+15    0.11589533E+06   0.298099E+17   0.555733E+27  -0.200070E+04
   0.315573E+14   0.100001E+07   0.172042E+06   0.981046E+15    0.11586043E+06   0.297926E+17   0.555278E+27  -0.199808E+04
   0.315573E+14   0.100001E+07   0.175517E+06   0.980242E+15    0.11582087E+06   0.297730E+17   0.554794E+27  -0.199512E+04
   0.315573E+14   0.100001E+07   0.179069E+06   0.979470E+15    0.11578291E+06   0.297542E+17   0.554290E+27  -0.199229E+04
   0.315573E+14   0.100001E+07   0.182622E+06   0.978665E+15    0.11574338E+06   0.297346E+17   0.553785E+27  -0.198933E+04
   0.315573E+14   0.100001E+07   0.186174E+06   0.977864E+15    0.11570396E+06   0.297151E+17   0.553272E+27  -0.198639E+04
   0.315573E+14   0.100001E+07   0.189806E+06   0.976959E+15    0.11565950E+06   0.296932E+17   0.552726E+27  -0.198308E+04
   0.315573E+14   0.100001E+07   0.193516E+06   0.976089E+15    0.11561677E+06   0.296720E+17   0.552158E+27  -0.197990E+04
   0.315573E+14   0.100001E+07   0.197225E+06   0.975185E+15    0.11557234E+06   0.296501E+17   0.551590E+27  -0.197660E+04
   0.315573E+14   0.100001E+07   0.200935E+06   0.974283E+15    0.11552804E+06   0.296282E+17   0.551012E+27  -0.197332E+04
   0.315573E+14   0.100001E+07   0.204724E+06   0.973269E+15    0.11547827E+06   0.296036E+17   0.550398E+27  -0.196963E+04
   0.315573E+14   0.100001E+07   0.208592E+06   0.972294E+15    0.11543038E+06   0.295800E+17   0.549762E+27  -0.196609E+04
   0.315573E+14   0.100001E+07   0.212461E+06   0.971281E+15    0.11538067E+06   0.295555E+17   0.549125E+27  -0.196242E+04
   0.315573E+14   0.100001E+07   0.216329E+06   0.970271E+15    0.11533108E+06   0.295311E+17   0.548477E+27  -0.195876E+04
   0.315573E+14   0.100001E+07   0.220277E+06   0.969141E+15    0.11527560E+06   0.295037E+17   0.547791E+27  -0.195467E+04
   0.315573E+14   0.100001E+07   0.224304E+06   0.968052E+15    0.11522216E+06   0.294774E+17   0.547079E+27  -0.195075E+04
   0.315573E+14   0.100001E+07   0.228331E+06   0.966922E+15    0.11516675E+06   0.294501E+17   0.546368E+27  -0.194668E+04
   0.315573E+14   0.100001E+07   0.232359E+06   0.965795E+15    0.11511149E+06   0.294230E+17   0.545645E+27  -0.194263E+04
   0.315573E+14   0.100001E+07   0.236466E+06   0.964539E+15    0.11504989E+06   0.293927E+17   0.544880E+27  -0.193813E+04
   0.315573E+14   0.100001E+07   0.240653E+06   0.963327E+15    0.11499048E+06   0.293635E+17   0.544088E+27  -0.193379E+04
   0.315573E+14   0.100001E+07   0.244840E+06   0.962073E+15    0.11492898E+06   0.293333E+17   0.543297E+27  -0.192931E+04
   0.315573E+14   0.100001E+07   0.249028E+06   0.960821E+15    0.11486762E+06   0.293032E+17   0.542492E+27  -0.192485E+04
   0.315573E+14   0.100001E+07   0.253295E+06   0.959430E+15    0.11479948E+06   0.292698E+17   0.541644E+27  -0.191990E+04
   0.315573E+14   0.100001E+07   0.257643E+06   0.958087E+15    0.11473370E+06   0.292375E+17   0.540766E+27  -0.191514E+04
   0.315573E+14   0.100001E+07   0.261991E+06   0.956698E+15    0.11466568E+06   0.292042E+17   0.539888E+27  -0.191022E+04
   0.315573E+14   0.100001E+07   0.266339E+06   0.955311E+15    0.11459782E+06   0.291710E+17   0.538996E+27  -0.190533E+04
   0.315573E+14   0.100001E+07   0.270767E+06   0.953777E+15    0.11452272E+06   0.291343E+17   0.538057E+27  -0.189992E+04
   0.315573E+14   0.100001E+07   0.275276E+06   0.952293E+15    0.11445014E+06   0.290988E+17   0.537087E+27  -0.189471E+04
   0.315573E+14   0.100001E+07   0.279785E+06   0.950761E+15    0.11437519E+06   0.290622E+17   0.536117E+27  -0.188934E+04
   0.315573E+14   0.100001E+07   0.284293E+06   0.949232E+15    0.11430041E+06   0.290257E+17   0.535132E+27  -0.188400E+04
   0.315573E+14   0.100001E+07   0.288883E+06   0.947544E+15    0.11421792E+06   0.289855E+17   0.534097E+27  -0.187812E+04
   0.315573E+14   0.100001E+07   0.293553E+06   0.945911E+15    0.11413813E+06   0.289466E+17   0.533028E+27  -0.187244E+04
   0.315573E+14   0.100001E+07   0.298224E+06   0.944227E+15    0.11405583E+06   0.289065E+17   0.531960E+27  -0.186660E+04
