model:  21
relative accuracy in total stellar mass SMASS .1000000E-06
central grav.mass density [g/cc] .1000000E+16
stellar mass [g] .3685329E+34 stellr mass [M_{sun}]    0.185E+01
g14 - gravitational acceleration in 10^{14} cm/s^2 .2116947E+01
radius .1245748E+07
spatialKnotsNumber:   1143                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
 spatialKnot      rho            pressure         lagrangianMass      Phi                    redshiftFactor              volumeFactor
.5185808E+06    .8376337E+15    .1268477E+36    .5552838E+33        -0.5374407782E+00         0.5842415444E+00         0.1090300661E+01
.5249063E+06    .8339001E+15    .1254168E+36    .5738498E+33        -0.5358115419E+00         0.5851941878E+00         0.1092466111E+01
.5313211E+06    .8298752E+15    .1238823E+36    .5941867E+33        -0.5340545045E+00         0.5862232997E+00         0.1094898470E+01
.5378252E+06    .8259560E+15    .1223962E+36    .6140438E+33        -0.5323429492E+00         0.5872275124E+00         0.1097182581E+01
.5443293E+06    .8219528E+15    .1208865E+36    .6346660E+33        -0.5305940619E+00         0.5882554058E+00         0.1099564460E+01
.5508334E+06    .8179542E+15    .1193870E+36    .6552910E+33        -0.5288465888E+00         0.5892842649E+00         0.1101905615E+01
.5574304E+06    .8136439E+15    .1177801E+36    .6778602E+33        -0.5269622470E+00         0.5903957248E+00         0.1104534766E+01
.5641204E+06    .8094480E+15    .1162252E+36    .6998868E+33        -0.5251273456E+00         0.5914800372E+00         0.1107003305E+01
.5708104E+06    .8051649E+15    .1146477E+36    .7227227E+33        -0.5232538069E+00         0.5925892367E+00         0.1109573614E+01
.5775003E+06    .8008866E+15    .1130816E+36    .7455600E+33        -0.5213818593E+00         0.5936995716E+00         0.1112101987E+01
.5842883E+06    .7962711E+15    .1114032E+36    .7705430E+33        -0.5193619531E+00         0.5949000010E+00         0.1114943761E+01
.5911743E+06    .7917810E+15    .1097812E+36    .7949057E+33        -0.5173964963E+00         0.5960704010E+00         0.1117609670E+01
.5980603E+06    .7872002E+15    .1081378E+36    .8201200E+33        -0.5153910673E+00         0.5972669774E+00         0.1120381214E+01
.6049463E+06    .7826243E+15    .1065074E+36    .8453341E+33        -0.5133874920E+00         0.5984648463E+00         0.1123109629E+01
.6119377E+06    .7776785E+15    .1047580E+36    .8729376E+33        -0.5112217841E+00         0.5997623509E+00         0.1126183360E+01
.6190344E+06    .7728723E+15    .1030708E+36    .8998210E+33        -0.5091171189E+00         0.6010259791E+00         0.1129061584E+01
.6261311E+06    .7679716E+15    .1013634E+36    .9275960E+33        -0.5069710763E+00         0.6023171915E+00         0.1132049127E+01
.6332278E+06    .7630758E+15    .9967092E+35    .9553685E+33        -0.5048272733E+00         0.6036098259E+00         0.1134992328E+01
.6404381E+06    .7577728E+15    .9785258E+35    .9858008E+33        -0.5025054145E+00         0.6050129510E+00         0.1138316776E+01
.6477620E+06    .7526256E+15    .9610259E+35    .1015398E+34        -0.5002521617E+00         0.6063777352E+00         0.1141423109E+01
.6550858E+06    .7473793E+15    .9433409E+35    .1045923E+34        -0.4979560488E+00         0.6077716466E+00         0.1144642057E+01
.6624097E+06    .7421379E+15    .9258260E+35    .1076442E+34        -0.4956627353E+00         0.6091670570E+00         0.1147815427E+01
.6698537E+06    .7364539E+15    .9070066E+35    .1109877E+34        -0.4931766875E+00         0.6106833594E+00         0.1151403889E+01
.6774180E+06    .7309406E+15    .8889265E+35    .1142365E+34        -0.4907663917E+00         0.6121570622E+00         0.1154752324E+01
.6849822E+06    .7253228E+15    .8706811E+35    .1175808E+34        -0.4883117268E+00         0.6136615485E+00         0.1158215819E+01
.6925465E+06    .7197098E+15    .8526308E+35    .1209243E+34        -0.4858606611E+00         0.6151675181E+00         0.1161632524E+01
.7002550E+06    .7135645E+15    .8330755E+35    .1246161E+34        -0.4831790992E+00         0.6168193416E+00         0.1165545642E+01
.7081078E+06    .7076304E+15    .8143982E+35    .1281866E+34        -0.4805918838E+00         0.6184172523E+00         0.1169165252E+01
.7159605E+06    .7015845E+15    .7955780E+35    .1318552E+34        -0.4779583580E+00         0.6200480165E+00         0.1172902034E+01
